image,record_id,matched_record,match_confidence,match_status,overall_status,primary_issue,field,expected,detected,field_status,match_type,field_confidence,explanation,processing_time_seconds,match_notes
old_tom_complete_sample_label.png,1,OLD TOM DISTILLERY,100,Auto Match,Pass,No issues detected,Brand Name,OLD TOM DISTILLERY,OLD TOM DISTILLERY,Pass,Exact Text Found,100,Brand Name was found directly in the OCR text.,0.47,High-confidence match found.
old_tom_complete_sample_label.png,1,OLD TOM DISTILLERY,100,Auto Match,Pass,No issues detected,Class / Type,Kentucky Straight Bourbon Whiskey,Kentucky Straight Bourbon Whiskey,Pass,Exact Text Found,100,Class / Type was found directly in the OCR text.,0.47,High-confidence match found.
old_tom_complete_sample_label.png,1,OLD TOM DISTILLERY,100,Auto Match,Pass,No issues detected,Alcohol Content,45% Alc./Vol.,45% alc./vol,Pass,Normalized Exact,100,Alcohol Content matches the expected value after normalization.,0.47,High-confidence match found.
old_tom_complete_sample_label.png,1,OLD TOM DISTILLERY,100,Auto Match,Pass,No issues detected,Net Contents,750 mL,750 ml,Pass,Normalized Exact,100,Net Contents matches the expected value after normalization.,0.47,High-confidence match found.
old_tom_complete_sample_label.png,1,OLD TOM DISTILLERY,100,Auto Match,Pass,No issues detected,Government Warning,GOVERNMENT WARNING:,GOVERNMENT WARNING:,Pass,Strict,100,Government warning heading was found.,0.47,High-confidence match found.
robinHoodBrewing_clean_label.png,4,Robin Hood Brewing Co.,94,Needs Review,Needs Review,Government Warning: Missing,Brand Name,Robin Hood Brewing Co.,Robin Hood Brewing Co.,Pass,Fuzzy Token Match,100,Brand Name matches after fuzzy/token comparison.,4.32,Possible match found. Human review recommended.
robinHoodBrewing_clean_label.png,4,Robin Hood Brewing Co.,94,Needs Review,Needs Review,Government Warning: Missing,Class / Type,Pilsner,Pilsner,Pass,Exact Text Found,100,Class / Type was found directly in the OCR text.,4.32,Possible match found. Human review recommended.
robinHoodBrewing_clean_label.png,4,Robin Hood Brewing Co.,94,Needs Review,Needs Review,Government Warning: Missing,Alcohol Content,5% Alc./Vol.,5% alc./vol,Pass,Normalized Exact,100,Alcohol Content matches the expected value after normalization.,4.32,Possible match found. Human review recommended.
robinHoodBrewing_clean_label.png,4,Robin Hood Brewing Co.,94,Needs Review,Needs Review,Government Warning: Missing,Net Contents,12 FL oz,12 fl oz,Pass,Normalized Exact,100,Net Contents matches the expected value after normalization.,4.32,Possible match found. Human review recommended.
robinHoodBrewing_clean_label.png,4,Robin Hood Brewing Co.,94,Needs Review,Needs Review,Government Warning: Missing,Government Warning,GOVERNMENT WARNING:,,Missing,Strict,0,Government warning was not found in the OCR text.,4.32,Possible match found. Human review recommended.
tequila_cleanValid_label.png,6,Sierra Azul,100,Auto Match,Pass,No issues detected,Brand Name,Sierra Azul,Sierra Azul,Pass,Exact Text Found,100,Brand Name was found directly in the OCR text.,1.63,High-confidence match found.
tequila_cleanValid_label.png,6,Sierra Azul,100,Auto Match,Pass,No issues detected,Class / Type,Tequila,Tequila,Pass,Exact Text Found,100,Class / Type was found directly in the OCR text.,1.63,High-confidence match found.
tequila_cleanValid_label.png,6,Sierra Azul,100,Auto Match,Pass,No issues detected,Alcohol Content,40% Alc./Vol.,40% alc./vol,Pass,Normalized Exact,100,Alcohol Content matches the expected value after normalization.,1.63,High-confidence match found.
tequila_cleanValid_label.png,6,Sierra Azul,100,Auto Match,Pass,No issues detected,Net Contents,750 mL,750 ml,Pass,Normalized Exact,100,Net Contents matches the expected value after normalization.,1.63,High-confidence match found.
tequila_cleanValid_label.png,6,Sierra Azul,100,Auto Match,Pass,No issues detected,Government Warning,GOVERNMENT WARNING:,GOVERNMENT WARNING:,Pass,Strict,100,Government warning heading was found.,1.63,High-confidence match found.
trailBrazerbeer_clean_label.png,5,Trail Blazer,100,Confirmed Match,Pass,No issues detected,Brand Name,Trail Blazer,Trail Blazer,Pass,Fuzzy Token Match,100,Brand Name matches after fuzzy/token comparison.,0.53,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
trailBrazerbeer_clean_label.png,5,Trail Blazer,100,Confirmed Match,Pass,No issues detected,Class / Type,Blonde Ale,Blonde Ale,Pass,Exact Text Found,100,Class / Type was found directly in the OCR text.,0.53,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
trailBrazerbeer_clean_label.png,5,Trail Blazer,100,Confirmed Match,Pass,No issues detected,Alcohol Content,5% Alc./Vol.,5% alc./vol,Pass,Normalized Exact,100,Alcohol Content matches the expected value after normalization.,0.53,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
trailBrazerbeer_clean_label.png,5,Trail Blazer,100,Confirmed Match,Pass,No issues detected,Net Contents,16 FL oz,16 fl. oz,Pass,Normalized Exact,100,Net Contents matches the expected value after normalization.,0.53,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
trailBrazerbeer_clean_label.png,5,Trail Blazer,100,Confirmed Match,Pass,No issues detected,Government Warning,GOVERNMENT WARNING:,GOVERNMENT WARNING:,Pass,Strict,100,Government warning heading was found.,0.53,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
12345imports_clean_label.png,3,12345 Imports,100,Confirmed Match,Pass,No issues detected,Brand Name,12345 Imports,12345 Imports,Pass,Exact Text Found,100,Brand Name was found directly in the OCR text.,0.52,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
12345imports_clean_label.png,3,12345 Imports,100,Confirmed Match,Pass,No issues detected,Class / Type,Rum with Coconut Liqueur,Rum with Coconut Liqueur,Pass,Fuzzy Token Match,100,Class / Type matches after fuzzy/token comparison.,0.52,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
12345imports_clean_label.png,3,12345 Imports,100,Confirmed Match,Pass,No issues detected,Alcohol Content,18% Alc./Vol.,18% alc./vol,Pass,Normalized Exact,100,Alcohol Content matches the expected value after normalization.,0.52,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
12345imports_clean_label.png,3,12345 Imports,100,Confirmed Match,Pass,No issues detected,Net Contents,200mL,200 ml,Pass,Normalized Exact,100,Net Contents matches the expected value after normalization.,0.52,"Initial OCR record match confidence was below the automatic match threshold, but all required fields were successfully validated against the matched record."
